[,0,0,0,0,0,0,0,0,14,1,24,3,2,0,7,0,5,14,14,6,2,5,0,1,1,0,]
[,0,0,0,0,0,0,0,0,14,2,26,2,3,3,5,2,2,9,20,6,0,3,0,0,1,0,]
[,0,0,0,0,0,0,0,0,14,3,41,4,1,1,6,2,3,7,14,3,0,2,0,1,0,0,]
[,0,0,0,0,0,0,0,0,15,1,10,1,1,0,15,1,10,27,15,0,1,1,0,1,1,0,]
[,0,0,0,0,0,0,0,0,8,0,15,0,1,0,14,1,5,28,26,1,2,0,0,0,2,0,]
[,0,0,0,0,0,0,0,0,7,4,36,0,14,0,7,4,3,7,1,4,5,6,1,2,1,0,]
[,0,0,0,0,0,0,0,0,1,5,63,0,11,0,2,5,0,1,0,1,1,2,5,2,2,0,]
[,0,0,0,0,0,0,0,0,11,2,31,2,6,1,7,2,3,10,11,4,2,4,0,1,1,0,]
[,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,23,21,17,20,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,11,15,19,7,0,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,16,16,20,5,7,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,29,25,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,10,13,3,5,2,45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,0,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,16,11,10,27,21,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,4,19,15,11,4,26,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,20,10,10,36,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,18,12,7,30,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,20,25,14,16,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,38,31,11,0,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,20,5,0,10,15,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,35,18,10,5,0,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,0,11,0,0,0,22,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,21,7,14,14,0,29,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
[,14,14,0,21,21,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,]
